Godot Engine v4.7.2.stable.official.ed1daf0bf - https://godotengine.org

[godot_ai game_helper] registered mcp capture (debugger active=false, logger=true)
[BoomRoomDiag] yaw=0.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=2.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=4.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=6.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=8.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=10.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=12.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=14.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=16.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=18.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=20.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=22.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=24.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=26.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=28.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=30.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=32.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=34.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=36.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=38.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=40.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=42.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=44.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=46.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=48.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=50.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=52.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=54.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=56.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=58.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=60.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=62.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=64.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=66.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=68.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=70.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
[BoomRoomDiag] yaw=72.0 boom=9.00 want=16.00 d=-1.00 n_y=0.00 in_shell=false party=false
